id,site,nom,version,trad_version,lien_trad,statut,tags,type_moteur,traducteur,relecteur,type_trad,ac,image_url,trad_url,translator_url
202025,F95z,Womanizer,v1.32+DLC,Intégrée,Intégrée,TERMINÉ,"3dcg, ai cg, anal sex, bdsm, big tits, harem, interracial, male protagonist, oral sex, vaginal sex, virgin, voyeurism",RenPy,,,Traduction Humaine,true,https://attachments.f95zone.to/2024/03/3516557_product_main_banner.png,,
120971,F95z,Womb Raider: The Prey,Ch. 1,Ch. 1,Traduction,EN COURS,"3dcg, creampie, female protagonist, interracial, kinetic novel, male domination, pregnancy, vaginal sex",RenPy,Franky28,,Traduction Humaine,true,https://attachments.f95zone.to/2022/06/1902478_0_title_alt.pnghttps://attachments.f95zone.to/2022/06/1902478_0_title_alt.png,,
178761,F95z,Word of Mouth,S1 v0.0.8D,S1 v0.0.8D,Traduction,EN COURS,"3dcg, big ass, big tits, cheating, female protagonist, interracial, lesbian, masturbation, milf, mobile game, multiple protagonist, oral sex, teasing",RenPy,Frelon71,,Traduction Automatique,true,https://attachments.f95zone.to/2023/10/3044622_main_menu.jpg,,
27570,F95z,Work Overtime With My Boss,Final,Final,Traduction,TERMINÉ,"3dcg, big tits, bukkake, censored, male protagonist, milf, oral sex, vaginal sex",RenPy,LeRebel71,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2019/05/325599_1.jpg,,
23644,F95z,World after War,v0.107,v0.70,Traduction,EN COURS,"3dcg, anal sex, animated, bdsm, big ass, big tits, creampie, dystopian setting, futa/trans, group sex, harem, humor, interracial, male protagonist, management, masturbation, milf, mobile game, monster girl, multiple endings, netorare, oral sex, pov, romance, sandbox, sci-fi, simulator, spanking, titfuck, transformation, vaginal sex, virgin",Unity,乃คяdaK,,Traduction Automatique,true,https://attachments.f95zone.to/2019/12/499163_497350_World_After_War1.jpg,,
169591,F95z,World of Secrets,v0.6.6,Intégrée,Intégrée,EN COURS,"3dcg, animated, big ass, big tits, futa/trans, groping, humor, male protagonist, masturbation, milf, mobile game, netorare, oral sex, sandbox, teasing, voyeurism",RenPy,,,Traduction Automatique,true,https://attachments.f95zone.to/2025/02/4579626_Banner.jpg,,
85027,F95z,World of Sisters,v0.45.0,Intégrée,Intégrée,EN COURS,"2dcg, anal sex, animated, big ass, big tits, cheating, dating sim, group sex, handjob, lesbian, male protagonist, masturbation, mobile game, multiple penetration, oral sex, pregnancy, puzzle, romance, sandbox, sex toys, vaginal sex",Unity,,,À tester,true,https://attachments.f95zone.to/2025/08/5203728__LOADING_SCREEN_NEW_2.jpg,,
259533,F95z,World of Witchcraft,v1.0,v1.0,Traduction,TERMINÉ,"3dcg, anal sex, bdsm, fantasy, male domination, multiple penetration, oral sex, parody, puzzle, vaginal sex",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2025/06/4990765_Cover.jpg,,
186046,F95z,World Tamer,v0.37,Intégrée,Intégrée,EN COURS,"3dcg, ahegao, anal sex, animated, big ass, big tits, dating sim, exhibitionism, fantasy, groping, group sex, handjob, harem, lesbian, male domination, male protagonist, masturbation, milf, mobile game, monster girl, pov, pregnancy, romance, sandbox, teasing, vaginal sex, voyeurism",RenPy,,,Traduction Automatique,true,https://attachments.f95zone.to/2024/04/3599505_banner_f95.png,,
85358,F95z,Worlds of Wonders,P1 v0.3.0,P1 v0.3.0,Traduction,TERMINÉ,"3dcg, anal sex, animated, bdsm, big ass, big tits, creampie, fantasy, female domination, footjob, futa/trans, groping, handjob, interracial, lactation, lesbian, male domination, male protagonist, masturbation, milf, monster girl, multiple protagonist, oral sex, point & click, pov, prostitution, scat, sex toys, stripping, teasing, titfuck, transformation, urination, vaginal sex, virgin, voyeurism",RenPy,Taxarian,,Traduction Semi-Automatique,false,https://attachments.f95zone.to/2021/06/1264091_Title_Banner_Small.png,,
